acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,0
0.151,https://api.spotify.com/v1/audio-analysis/1NgeW6kFhdqAvEKgKYhf1s,0.818,170645.0,0.533,1NgeW6kFhdqAvEKgKYhf1s,6.66e-06,6.0,0.133,-6.05,0.0,0.0428,114.97,4.0,https://api.spotify.com/v1/tracks/1NgeW6kFhdqAvEKgKYhf1s,audio_features,spotify:track:1NgeW6kFhdqAvEKgKYhf1s,0.774,
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088.0,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0.0,0.1,-10.998,1.0,0.368,131.926,4.0,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578,
0.0361,https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O,0.908,113013.0,0.517,53CJANUxooaqGOtdsBTh7O,1.73e-06,1.0,0.0949,-6.063,1.0,0.129,136.019,4.0,https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O,audio_features,spotify:track:53CJANUxooaqGOtdsBTh7O,0.471,
0.0427,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.842,181040.0,0.734,4y3OI86AEP6PQoDE6olYhO,0.0,1.0,0.106,-5.065,0.0,0.0588,137.958,4.0,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.952,
0.294,https://api.spotify.com/v1/audio-analysis/4p64MewegGtC8Ziy8iGy8n,0.764,165262.0,0.688,4p64MewegGtC8Ziy8iGy8n,0.0,6.0,0.146,-5.701,0.0,0.124,104.014,4.0,https://api.spotify.com/v1/tracks/4p64MewegGtC8Ziy8iGy8n,audio_features,spotify:track:4p64MewegGtC8Ziy8iGy8n,0.876,
0.163,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,149520.0,0.539,6MWtB6iiXyIwun0YzU6DFP,2.1e-06,11.0,0.101,-7.399,0.0,0.178,99.947,4.0,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.385,
0.296,https://api.spotify.com/v1/audio-analysis/5WHTFyqSii0lmT9R21abT8,0.674,178480.0,0.881,5WHTFyqSii0lmT9R21abT8,3.01e-06,9.0,0.0793,-2.853,1.0,0.147,98.994,4.0,https://api.spotify.com/v1/tracks/5WHTFyqSii0lmT9R21abT8,audio_features,spotify:track:5WHTFyqSii0lmT9R21abT8,0.234,
0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733.0,0.385,2VxeLyX666F8uXCJ0dZF8B,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.323,
0.051,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,0.901,197573.0,0.4,6TqXcAFInzjp0bODyvrWEq,0.0,0.0,0.0599,-8.575,1.0,0.126,135.984,4.0,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,audio_features,spotify:track:6TqXcAFInzjp0bODyvrWEq,0.346,
0.0533,https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7,0.878,157067.0,0.619,6u7jPi22kF8CTQ3rb9DHE7,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,4.0,https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7,audio_features,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,0.639,
0.389,https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD,0.85,221543.0,0.353,3Fj47GNK2kUF0uaEDgXLaD,6.68e-06,7.0,0.8,-10.267,1.0,0.334,118.071,4.0,https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD,audio_features,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.329,
0.752,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,0.888,193143.0,0.395,4SSnFejRGlZikf02HLewEF,0.14,8.0,0.106,-14.645,1.0,0.324,120.058,4.0,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,audio_features,spotify:track:4SSnFejRGlZikf02HLewEF,0.162,
0.031,https://api.spotify.com/v1/audio-analysis/6DuE8kXIDJ3oiCibWXmgeN,0.708,186000.0,0.825,6DuE8kXIDJ3oiCibWXmgeN,0.0,4.0,0.191,-3.117,1.0,0.0615,109.991,4.0,https://api.spotify.com/v1/tracks/6DuE8kXIDJ3oiCibWXmgeN,audio_features,spotify:track:6DuE8kXIDJ3oiCibWXmgeN,0.662,
0.156,https://api.spotify.com/v1/audio-analysis/0QLH3xeYZSRXy9YovfVEOI,0.742,177561.0,0.542,0QLH3xeYZSRXy9YovfVEOI,0.0,5.0,0.103,-7.084,0.0,0.151,97.971,4.0,https://api.spotify.com/v1/tracks/0QLH3xeYZSRXy9YovfVEOI,audio_features,spotify:track:0QLH3xeYZSRXy9YovfVEOI,0.427,
0.0174,https://api.spotify.com/v1/audio-analysis/09oZ9eXQ2fo6YDrPzJqAoP,0.729,177067.0,0.545,09oZ9eXQ2fo6YDrPzJqAoP,0.000274,0.0,0.369,-7.818,1.0,0.0316,103.012,4.0,https://api.spotify.com/v1/tracks/09oZ9eXQ2fo6YDrPzJqAoP,audio_features,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,0.514,
0.0754,https://api.spotify.com/v1/audio-analysis/0uUNN1nSoUx1A4fkDCWDQ7,0.684,184296.0,0.677,0uUNN1nSoUx1A4fkDCWDQ7,0.0,6.0,0.133,-4.034,1.0,0.0464,130.141,4.0,https://api.spotify.com/v1/tracks/0uUNN1nSoUx1A4fkDCWDQ7,audio_features,spotify:track:0uUNN1nSoUx1A4fkDCWDQ7,0.595,
0.978,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,0.454,196077.0,0.111,43zdsphuZLzwA9k4DJhU0I,5.89e-05,4.0,0.0898,-14.038,1.0,0.0635,124.155,3.0,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,audio_features,spotify:track:43zdsphuZLzwA9k4DJhU0I,0.187,
0.45,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,0.741,171030.0,0.52,6Qs4SXO9dwPj5GKvVOv8Ki,1.97e-06,8.0,0.222,-7.513,1.0,0.0656,102.998,4.0,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,0.347,
0.0691,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,0.719,187436.0,0.704,25sgk305KZfyuqVBQIahim,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,0.628,
0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627.0,0.317,6ocbgoVGwYJhOv1GgI9NsF,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,4.0,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327,
0.0149,https://api.spotify.com/v1/audio-analysis/1Ohg3i1ZV1oQcRzDRYFd5p,0.827,148652.0,0.573,1Ohg3i1ZV1oQcRzDRYFd5p,0.0,11.0,0.157,-5.936,0.0,0.202,99.951,4.0,https://api.spotify.com/v1/tracks/1Ohg3i1ZV1oQcRzDRYFd5p,audio_features,spotify:track:1Ohg3i1ZV1oQcRzDRYFd5p,0.57,
0.74,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,0.652,169354.0,0.557,2qxmye6gAegTMjLKEBoR3d,0.0,1.0,0.124,-5.714,0.0,0.0318,150.073,4.0,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,audio_features,spotify:track:2qxmye6gAegTMjLKEBoR3d,0.483,
0.0484,https://api.spotify.com/v1/audio-analysis/2VglI9HaCwWBOIjQdbDQ0D,0.573,203037.0,0.767,2VglI9HaCwWBOIjQdbDQ0D,8e-06,11.0,0.112,-6.182,0.0,0.0781,179.958,4.0,https://api.spotify.com/v1/tracks/2VglI9HaCwWBOIjQdbDQ0D,audio_features,spotify:track:2VglI9HaCwWBOIjQdbDQ0D,0.63,
0.139,https://api.spotify.com/v1/audio-analysis/79JoAfAjEcCtFYyeJCGwkK,0.768,146866.0,0.94,79JoAfAjEcCtFYyeJCGwkK,0.0,7.0,0.104,-4.436,1.0,0.331,133.988,4.0,https://api.spotify.com/v1/tracks/79JoAfAjEcCtFYyeJCGwkK,audio_features,spotify:track:79JoAfAjEcCtFYyeJCGwkK,0.404,
0.0623,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,0.791,156347.0,0.565,5icOoE6VgqFKohjWWNp0Ac,0.0,5.0,0.156,-3.933,0.0,0.0439,99.961,4.0,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,audio_features,spotify:track:5icOoE6VgqFKohjWWNp0Ac,0.181,
0.249,https://api.spotify.com/v1/audio-analysis/5NfDT2t5fcHskz64BP9TjH,0.646,201980.0,0.627,5NfDT2t5fcHskz64BP9TjH,2.68e-05,10.0,0.155,-6.353,0.0,0.0743,104.74,4.0,https://api.spotify.com/v1/tracks/5NfDT2t5fcHskz64BP9TjH,audio_features,spotify:track:5NfDT2t5fcHskz64BP9TjH,0.813,
0.0766,https://api.spotify.com/v1/audio-analysis/1BMfojwi8eKlVtGOEfJw17,0.714,186797.0,0.687,1BMfojwi8eKlVtGOEfJw17,4.35e-05,1.0,0.0725,-3.641,0.0,0.0374,99.962,4.0,https://api.spotify.com/v1/tracks/1BMfojwi8eKlVtGOEfJw17,audio_features,spotify:track:1BMfojwi8eKlVtGOEfJw17,0.539,
0.13,https://api.spotify.com/v1/audio-analysis/7iNiRaxUOvd4seviLprqeb,0.756,181691.0,0.596,7iNiRaxUOvd4seviLprqeb,0.0,0.0,0.216,-5.473,0.0,0.0359,102.005,4.0,https://api.spotify.com/v1/tracks/7iNiRaxUOvd4seviLprqeb,audio_features,spotify:track:7iNiRaxUOvd4seviLprqeb,0.683,
0.0337,https://api.spotify.com/v1/audio-analysis/7AJflREyNWWfSOo1GOQxvj,0.806,198853.0,0.649,7AJflREyNWWfSOo1GOQxvj,0.0,7.0,0.13,-6.999,0.0,0.0619,113.014,4.0,https://api.spotify.com/v1/tracks/7AJflREyNWWfSOo1GOQxvj,audio_features,spotify:track:7AJflREyNWWfSOo1GOQxvj,0.367,
0.12,https://api.spotify.com/v1/audio-analysis/6I3ZRRax89Im1a5RueF5SY,0.705,175263.0,0.789,6I3ZRRax89Im1a5RueF5SY,0.0,2.0,0.0809,-4.073,1.0,0.0616,97.006,4.0,https://api.spotify.com/v1/tracks/6I3ZRRax89Im1a5RueF5SY,audio_features,spotify:track:6I3ZRRax89Im1a5RueF5SY,0.637,
0.177,https://api.spotify.com/v1/audio-analysis/2kDVTfMiMP8ignU2hU2yCB,0.703,194707.0,0.812,2kDVTfMiMP8ignU2hU2yCB,0.0,7.0,0.228,-4.744,1.0,0.245,92.037,4.0,https://api.spotify.com/v1/tracks/2kDVTfMiMP8ignU2hU2yCB,audio_features,spotify:track:2kDVTfMiMP8ignU2hU2yCB,0.626,
0.0964,https://api.spotify.com/v1/audio-analysis/2bmSoVE0rXEI6fGuy14QyA,0.699,193411.0,0.679,2bmSoVE0rXEI6fGuy14QyA,0.0,2.0,0.166,-5.853,0.0,0.043,143.949,4.0,https://api.spotify.com/v1/tracks/2bmSoVE0rXEI6fGuy14QyA,audio_features,spotify:track:2bmSoVE0rXEI6fGuy14QyA,0.546,
0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,158040.0,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913,
0.595,https://api.spotify.com/v1/audio-analysis/2SLn2MQzKGwCJXFF6Gntg7,0.781,215713.0,0.535,2SLn2MQzKGwCJXFF6Gntg7,0.0,6.0,0.0694,-7.403,0.0,0.248,144.875,4.0,https://api.spotify.com/v1/tracks/2SLn2MQzKGwCJXFF6Gntg7,audio_features,spotify:track:2SLn2MQzKGwCJXFF6Gntg7,0.483,
0.016,https://api.spotify.com/v1/audio-analysis/5itOtNx0WxtJmi1TQ3RuRd,0.807,229184.0,0.887,5itOtNx0WxtJmi1TQ3RuRd,0.000503,1.0,0.0811,-4.311,0.0,0.0361,122.015,4.0,https://api.spotify.com/v1/tracks/5itOtNx0WxtJmi1TQ3RuRd,audio_features,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,0.606,
0.112,https://api.spotify.com/v1/audio-analysis/0K3ndEOFiWz9xrh8xHa4vZ,0.826,193721.0,0.759,0K3ndEOFiWz9xrh8xHa4vZ,2.53e-05,6.0,0.205,-6.234,1.0,0.126,112.037,4.0,https://api.spotify.com/v1/tracks/0K3ndEOFiWz9xrh8xHa4vZ,audio_features,spotify:track:0K3ndEOFiWz9xrh8xHa4vZ,0.775,
0.547,https://api.spotify.com/v1/audio-analysis/2XKFnwB6djxrJCjR3PdeRb,0.577,163973.0,0.578,2XKFnwB6djxrJCjR3PdeRb,0.59,0.0,0.264,-9.146,0.0,0.0906,84.965,4.0,https://api.spotify.com/v1/tracks/2XKFnwB6djxrJCjR3PdeRb,audio_features,spotify:track:2XKFnwB6djxrJCjR3PdeRb,0.367,
0.267,https://api.spotify.com/v1/audio-analysis/513USzRJreYwoYoIsqrvB2,0.867,199488.0,0.632,513USzRJreYwoYoIsqrvB2,5.26e-06,11.0,0.216,-5.408,1.0,0.189,126.996,4.0,https://api.spotify.com/v1/tracks/513USzRJreYwoYoIsqrvB2,audio_features,spotify:track:513USzRJreYwoYoIsqrvB2,0.784,
0.705,https://api.spotify.com/v1/audio-analysis/2H4gf1wLxvYreMj1jcaN0k,0.551,196493.0,0.537,2H4gf1wLxvYreMj1jcaN0k,0.0,11.0,0.0802,-7.595,1.0,0.034,126.421,4.0,https://api.spotify.com/v1/tracks/2H4gf1wLxvYreMj1jcaN0k,audio_features,spotify:track:2H4gf1wLxvYreMj1jcaN0k,0.493,
0.799,https://api.spotify.com/v1/audio-analysis/60G0YTBb4gtAgb0ODAPNAn,0.716,185942.0,0.572,60G0YTBb4gtAgb0ODAPNAn,1.89e-06,9.0,0.0793,-5.095,0.0,0.0391,113.779,4.0,https://api.spotify.com/v1/tracks/60G0YTBb4gtAgb0ODAPNAn,audio_features,spotify:track:60G0YTBb4gtAgb0ODAPNAn,0.64,
0.453,https://api.spotify.com/v1/audio-analysis/6pa0cDzwcgekEdoLqTXoTS,0.474,236386.0,0.656,6pa0cDzwcgekEdoLqTXoTS,0.0206,4.0,0.299,-6.658,0.0,0.0613,80.848,4.0,https://api.spotify.com/v1/tracks/6pa0cDzwcgekEdoLqTXoTS,audio_features,spotify:track:6pa0cDzwcgekEdoLqTXoTS,0.374,
0.335,https://api.spotify.com/v1/audio-analysis/1zVfFnkHv8ubJRXT30d4T3,0.733,196477.0,0.48,1zVfFnkHv8ubJRXT30d4T3,0.0,2.0,0.232,-5.828,1.0,0.0401,133.056,3.0,https://api.spotify.com/v1/tracks/1zVfFnkHv8ubJRXT30d4T3,audio_features,spotify:track:1zVfFnkHv8ubJRXT30d4T3,0.488,
0.751,https://api.spotify.com/v1/audio-analysis/2TIlqbIneP0ZY1O0EzYLlc,0.501,182161.0,0.405,2TIlqbIneP0ZY1O0EzYLlc,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,4.0,https://api.spotify.com/v1/tracks/2TIlqbIneP0ZY1O0EzYLlc,audio_features,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,0.446,
0.172,https://api.spotify.com/v1/audio-analysis/3id2EVGKc3eFAMn9nFnB0r,0.538,205440.0,0.409,3id2EVGKc3eFAMn9nFnB0r,0.0,9.0,0.11,-6.581,0.0,0.0505,171.838,4.0,https://api.spotify.com/v1/tracks/3id2EVGKc3eFAMn9nFnB0r,audio_features,spotify:track:3id2EVGKc3eFAMn9nFnB0r,0.265,
0.0421,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,0.726,190440.0,0.554,4kV4N9D1iKVxx1KLvtTpjS,0.0,5.0,0.106,-5.29,0.0,0.0917,169.999,4.0,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,audio_features,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,0.335,
0.407,https://api.spotify.com/v1/audio-analysis/3Ol2xnObFdKV9pmRD2t9x8,0.791,179449.0,0.587,3Ol2xnObFdKV9pmRD2t9x8,0.0,3.0,0.148,-5.075,0.0,0.0413,96.057,4.0,https://api.spotify.com/v1/tracks/3Ol2xnObFdKV9pmRD2t9x8,audio_features,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,0.536,
0.316,https://api.spotify.com/v1/audio-analysis/6IRdLKIyS4p7XNiP8r6rsx,0.741,168840.0,0.447,6IRdLKIyS4p7XNiP8r6rsx,0.121,8.0,0.187,-9.015,0.0,0.388,184.98,4.0,https://api.spotify.com/v1/tracks/6IRdLKIyS4p7XNiP8r6rsx,audio_features,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,0.551,
0.0765,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,0.596,229320.0,0.552,6zeeWid2sgw4lap2jV61PZ,0.334,0.0,0.104,-10.278,0.0,0.097,97.949,4.0,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,audio_features,spotify:track:6zeeWid2sgw4lap2jV61PZ,0.112,
0.255,https://api.spotify.com/v1/audio-analysis/79esEXlqqmq0GPz0xQSZTV,0.713,201200.0,0.738,79esEXlqqmq0GPz0xQSZTV,0.0,10.0,0.106,-6.784,1.0,0.374,105.027,4.0,https://api.spotify.com/v1/tracks/79esEXlqqmq0GPz0xQSZTV,audio_features,spotify:track:79esEXlqqmq0GPz0xQSZTV,0.425,
